row,plot,trt,tree,trunk.class,spur.prune,spray,branch,spur,fruit,limb.circ.cm
2,26,blue,73,2,5,yes,5,4,0,3.6
2,26,blue,73,2,5,yes,5,5,0,3.6
2,26,blue,73,2,5,yes,5,6,0,3.6
2,26,blue,73,2,5,yes,5,7,0,3.6
2,26,blue,73,2,5,yes,5,8,0,3.6
2,28,orange,114,5,2,yes,1,1,0,4
2,28,orange,114,5,2,yes,1,2,0,4
2,28,orange,114,5,2,yes,1,3,0,4
2,28,orange,114,5,2,yes,2,1,2,5.5
2,28,orange,114,5,2,yes,2,2,0,5.5
2,28,orange,114,5,2,yes,2,3,0,5.5
2,28,orange,114,5,2,yes,3,1,2,4.5
2,28,orange,114,5,2,yes,3,2,2,4.5
2,28,orange,114,5,2,yes,3,3,3,4.5
2,28,orange,114,5,2,yes,4,1,1,4.8
2,28,orange,114,5,2,yes,4,2,0,4.8
2,28,orange,114,5,2,yes,4,3,0,4.8
2,28,orange,114,5,2,yes,5,1,2,3.2
2,28,orange,114,5,2,yes,5,2,0,3.2
2,28,orange,114,5,2,yes,5,3,0,3.2
2,30,orange,135,2,2,yes,1,1,1,3.5
2,30,orange,135,2,2,yes,1,2,1,3.5
2,30,orange,135,2,2,yes,1,3,1,3.5
2,30,orange,135,2,2,yes,2,1,2,3
2,30,orange,135,2,2,yes,2,2,0,3
2,30,orange,135,2,2,yes,2,3,0,3
2,30,orange,135,2,2,yes,3,1,3,3.2
2,30,orange,135,2,2,yes,3,2,1,3.2
2,30,orange,135,2,2,yes,3,3,0,3.2
2,30,orange,135,2,2,yes,4,1,2,3.9
2,30,orange,135,2,2,yes,4,2,4,3.9
2,30,orange,135,2,2,yes,4,3,0,3.9
2,30,orange,135,2,2,yes,5,1,2,3.3
2,30,orange,135,2,2,yes,5,2,1,3.3
2,30,orange,135,2,2,yes,5,3,0,3.3
2,25,blue,138,4,5,yes,1,1,2,4.4
2,25,blue,138,4,5,yes,1,2,2,4.4
2,25,blue,138,4,5,yes,1,3,2,4.4
2,25,blue,138,4,5,yes,1,4,2,4.4
2,25,blue,138,4,5,yes,1,5,2,4.4
2,25,blue,138,4,5,yes,1,6,1,4.4
2,25,blue,138,4,5,yes,1,7,0,4.4
2,25,blue,138,4,5,yes,1,8,0,4.4
2,25,blue,138,4,5,yes,2,1,1,4
2,25,blue,138,4,5,yes,2,2,1,4
2,25,blue,138,4,5,yes,2,3,1,4
2,25,blue,138,4,5,yes,2,4,0,4
